STT,min_AccelX,max_AccelX,mean_AccelX,std_AccelX,frequency_AccelX,min_AccelY,max_AccelY,mean_AccelY,std_AccelY,frequency_AccelY,min_AccelZ,max_AccelZ,mean_AccelZ,std_AccelZ,frequency_AccelZ,min_GyroX,max_GyroX,mean_GyroX,std_GyroX,frequency_GyroX,min_GyroY,max_GyroY,mean_GyroY,std_GyroY,frequency_GyroY,min_GyroZ,max_GyroZ,mean_GyroZ,std_GyroZ,frequency_GyroZ
26,9.74,9.97,9.85065,0.03935832186463241,41.0,1.22,1.45,1.3535499999999998,0.028122899921594117,54.0,2.82,3.14,2.9954999999999994,0.04337914245348791,139.0,-0.13,-0.08,-0.11055,0.009497236440144047,41.0,0.04,0.08,0.056000000000000015,0.00806225774829855,7.0,-0.02,0.01,-0.011500000000000002,0.006461423991660042,34.0
27,9.73,9.98,9.8484,0.04185020907952556,159.0,1.2,1.47,1.36115,0.03194021759475031,61.0,2.82,3.13,3.0011,0.04539592492724426,34.0,-0.13,-0.08,-0.11085,0.009888250603620438,41.0,0.03,0.07,0.056050000000000016,0.00780368502696002,7.0,-0.03,0.01,-0.011500000000000002,0.007053367989832943,14.0
28,9.73,9.97,9.84405,0.04228590190595444,40.0,1.24,1.45,1.368,0.026115129714401143,53.0,2.87,3.11,3.0141499999999994,0.040648216443037156,60.0,-0.13,-0.08,-0.1105,0.009260129588726065,40.0,0.04,0.07,0.055950000000000014,0.00728680313992357,13.0,-0.02,0.01,-0.01135,0.006832093383436734,13.0
29,9.36,9.58,9.46045,0.04285204195834781,42.0,1.1,1.38,1.2469999999999999,0.03681032463861194,1.0,3.97,4.28,4.1344,0.045919930313536,158.0,-0.13,-0.07,-0.11,0.009643650760992953,42.0,0.03,0.09,0.05740000000000002,0.00849941174435031,152.0,-0.03,0.02,-0.01245,0.007968531859759362,14.0
30,9.33,9.6,9.44865,0.044974187041012775,40.0,1.15,1.37,1.26725,0.031669188496076146,60.0,3.98,4.29,4.1633000000000004,0.042849854142108824,60.0,-0.13,-0.07,-0.11035,0.008796448146837449,47.0,0.04,0.08,0.056450000000000014,0.008479239352677808,40.0,-0.03,0.01,-0.0116,0.006959885056522126,47.0
31,9.27,9.57,9.4418,0.04549461506596139,161.0,1.11,1.37,1.2722,0.03286578768263437,59.0,4.01,4.28,4.1774000000000004,0.04066005410719474,59.0,-0.13,-0.08,-0.11120000000000001,0.0084,39.0,0.03,0.08,0.05585000000000001,0.008202286266645415,13.0,-0.03,0.01,-0.011850000000000001,0.007488491169788478,46.0
32,9.3,9.55,9.4334,0.05053157428776583,37.0,1.14,1.35,1.276,0.028106938645110418,138.0,4.04,4.32,4.19205,0.03755392789043513,37.0,-0.13,-0.08,-0.11055000000000001,0.007693991161939294,37.0,0.04,0.08,0.056000000000000015,0.00806225774829855,37.0,-0.02,0.01,-0.0115,0.0068373971655886715,37.0
33,9.29,9.55,9.42825,0.043982240734187265,37.0,1.14,1.36,1.27755,0.03213249912471798,63.0,4.06,4.27,4.2027,0.031411940404884243,32.0,-0.13,-0.08,-0.11065000000000003,0.007353740544783993,106.0,0.04,0.08,0.05580000000000001,0.007304792947099869,13.0,-0.02,0.01,-0.01195,0.006300595209978182,163.0
34,8.91,9.14,9.0255,0.04325216757574108,45.0,1.53,1.74,1.6734499999999999,0.026955472542695296,141.0,4.78,4.98,4.9061,0.03229225913434987,57.0,-0.13,-0.08,-0.11115000000000003,0.00928318372111637,108.0,0.04,0.08,0.056050000000000016,0.007203991948912768,157.0,-0.02,0.0,-0.01085,0.005174698058824302,34.0
35,9.35,9.69,9.480649999999999,0.06425789834720708,1.0,1.24,1.56,1.39545,0.04160285446937503,198.0,3.68,4.19,4.04015,0.1153840435242239,1.0,-0.19,-0.04,-0.11095000000000002,0.01692919076624751,4.0,-0.03,0.17,0.05660000000000001,0.02663531490333839,3.0,-0.04,0.08,-0.011800000000000001,0.012990765951243984,3.0
36,9.36,9.56,9.45555,0.0419010441397347,40.0,1.25,1.5,1.40175,0.03178737957114426,60.0,3.96,4.22,4.09795,0.03844863456613252,167.0,-0.13,-0.08,-0.11085,0.007535084604700863,40.0,0.04,0.07,0.05560000000000001,0.007045565981523413,7.0,-0.03,0.01,-0.0114,0.007213875518748573,193.0
37,9.33,9.56,9.45085,0.04293923031448046,41.0,1.25,1.5,1.3990499999999997,0.030718032163535452,61.0,3.95,4.22,4.1094,0.041056546372046414,166.0,-0.13,-0.08,-0.11095000000000001,0.008037256994771287,47.0,0.04,0.08,0.05600000000000001,0.007280109889280518,14.0,-0.02,0.01,-0.01155,0.00707795874528808,27.0
38,9.33,9.54,9.44555,0.04265791251338954,41.0,1.26,1.49,1.3976499999999998,0.030528306536720933,61.0,3.97,4.24,4.1236,0.04044799129746745,67.0,-0.13,-0.08,-0.11055000000000001,0.008786210787364482,46.0,0.04,0.07,0.05595000000000001,0.007217859793595329,13.0,-0.02,0.01,-0.01195,0.006610408459391901,193.0
39,9.32,9.54,9.4422,0.044217191226942405,40.0,1.25,1.48,1.3984999999999999,0.027708302004994786,100.0,4.0,4.24,4.1316500000000005,0.034522130583149145,100.0,-0.13,-0.08,-0.11035,0.00764051699821419,43.0,0.04,0.07,0.05630000000000001,0.0068782265156070565,13.0,-0.03,0.01,-0.011800000000000001,0.006225752966509353,193.0
