STT,min_AccelX,max_AccelX,mean_AccelX,std_AccelX,frequency_AccelX,min_AccelY,max_AccelY,mean_AccelY,std_AccelY,frequency_AccelY,min_AccelZ,max_AccelZ,mean_AccelZ,std_AccelZ,frequency_AccelZ,min_GyroX,max_GyroX,mean_GyroX,std_GyroX,frequency_GyroX,min_GyroY,max_GyroY,mean_GyroY,std_GyroY,frequency_GyroY,min_GyroZ,max_GyroZ,mean_GyroZ,std_GyroZ,frequency_GyroZ
27,8.61,9.01,8.7994,0.09606581077573852,198.0,0.7,1.21,0.9194,0.06455726140412092,2.0,5.14,5.77,5.4744,0.1479447194055942,198.0,-0.17,-0.05,-0.11200000000000003,0.01841195263952197,2.0,-0.01,0.17,0.05405,0.03683880426941136,2.0,-0.05,0.03,-0.011049999999999999,0.008625398541516793,16.0
28,8.6,8.97,8.7685,0.07051772826743637,1.0,0.76,1.03,0.9244,0.04407538995856984,1.0,5.2,5.75,5.5284,0.10127408355546842,199.0,-0.14,-0.06,-0.11155000000000001,0.013382731410291396,2.0,-0.02,0.12,0.053850000000000016,0.024467887117607848,2.0,-0.03,-0.0,-0.01165,0.006463551655243423,28.0
29,8.64,9.03,8.80575,0.0874324739441816,198.0,0.74,1.01,0.9021000000000001,0.046006412596506584,1.0,5.09,5.73,5.468999999999999,0.13424976722512408,2.0,-0.14,-0.05,-0.11010000000000002,0.01513241553751416,2.0,-0.01,0.14,0.05785000000000001,0.032525028823968787,197.0,-0.03,-0.0,-0.011899999999999999,0.006884039511798287,46.0
30,8.64,9.01,8.78465,0.07901820992657325,2.0,0.73,1.05,0.9127500000000001,0.04428247395979587,1.0,5.1,5.76,5.50555,0.12320591503657606,198.0,-0.14,-0.07,-0.11230000000000001,0.012438247464976727,2.0,-0.0,0.14,0.05065,0.028706750077290184,2.0,-0.02,0.01,-0.011300000000000001,0.00634901567173999,165.0
31,8.64,9.07,8.81785,0.08901054712785442,2.0,0.72,1.02,0.8961,0.0439748791925572,2.0,5.12,5.78,5.451999999999999,0.14002499776825564,2.0,-0.14,-0.06,-0.11000000000000001,0.013820274961085252,43.0,0.0,0.13,0.06065000000000001,0.0294970761262875,198.0,-0.02,0.01,-0.011950000000000002,0.00597473848800096,43.0
32,8.67,9.03,8.8056,0.08059553337499535,2.0,0.76,1.03,0.90155,0.04347525158064068,198.0,5.17,5.76,5.4702,0.1227190286793372,198.0,-0.14,-0.07,-0.11200000000000002,0.012369316876852983,2.0,-0.01,0.14,0.052349999999999994,0.028195345360537794,198.0,-0.03,-0.0,-0.0115,0.005894913061275797,2.0
33,8.65,9.02,8.77065,0.06772796689699158,2.0,0.79,1.01,0.9071000000000001,0.0391738433141299,2.0,5.09,5.71,5.53015,0.10695081813618817,198.0,-0.15,-0.06,-0.1105,0.013592277219068187,2.0,-0.02,0.15,0.05620000000000001,0.029471342012198906,2.0,-0.02,0.01,-0.01165,0.006064445564105593,36.0
34,8.57,8.97,8.738050000000001,0.0772185049065313,1.0,0.89,1.22,1.05805,0.04355109068668661,1.0,5.25,5.82,5.5499,0.10962659348898882,1.0,-0.15,-0.07,-0.113,0.013638181696985857,1.0,-0.01,0.12,0.049550000000000004,0.02356475121871648,1.0,-0.03,0.01,-0.01125,0.006552671211040579,1.0
35,8.67,9.03,8.8184,0.07976490456334784,1.0,0.7,1.02,0.8815000000000001,0.04640851215025107,1.0,5.04,5.69,5.4497,0.12680264192831314,1.0,-0.14,-0.07,-0.11035,0.012624480187318605,198.0,-0.01,0.14,0.057800000000000004,0.03113133469673281,197.0,-0.03,0.01,-0.012000000000000002,0.006557438524302001,7.0
36,8.66,9.01,8.79265,0.07729474432327202,2.0,0.73,1.01,0.88965,0.041489486620106555,2.0,5.2,5.72,5.494000000000001,0.11656757696718241,2.0,-0.14,-0.07,-0.1121,0.011471268456452409,198.0,-0.01,0.13,0.051050000000000005,0.027448087365060613,2.0,-0.02,0.0,-0.011000000000000001,0.005,37.0
